Model,MAE_Train,RMSE_Train,R2_Train,MAE_Test,RMSE_Test,R2_Test
Random Forest,706167.2792475853,15674251.626031846,0.9933707542807331,840678.5812212853,6878854.038729718,0.9986999391881513
XGBoost,2431107.0545657016,4113089.4720745725,0.9995435146947806,4863623.779510022,36699685.38333695,0.9629953619098351
CatBoost,4751360.375824998,7788179.471456433,0.9983633252219521,5134378.167090019,9198912.188412398,0.9976750992099115
